@relation R15-weka.filters.unsupervised.attribute.NumericToNominal-Rlast_clustered

@attribute Instance_number numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute label {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7}

@data
0,9.802,10.132,1,cluster1
1,10.35,9.768,1,cluster1
2,10.098,9.988,1,cluster1
3,9.73,9.91,1,cluster1
4,9.754,10.43,1,cluster1
5,9.836,9.902,1,cluster1
6,10.238,9.866,1,cluster1
7,9.53,9.862,1,cluster1
8,10.154,9.82,1,cluster1
9,9.336,10.456,1,cluster1
10,9.378,10.21,1,cluster1
11,9.712,10.264,1,cluster1
12,9.638,10.208,1,cluster1
13,9.518,9.956,1,cluster1
14,10.236,9.91,1,cluster1
15,9.4,10.086,1,cluster1
16,10.196,9.746,1,cluster1
17,10.138,9.828,1,cluster1
18,10.062,10.26,1,cluster7
19,10.394,9.984,1,cluster7
20,10.284,10.348,1,cluster7
21,9.706,9.978,1,cluster1
22,9.906,10.588,1,cluster7
23,10.356,9.198,1,cluster1
24,9.954,9.704,1,cluster1
25,9.796,10.378,1,cluster1
26,10.386,10.608,1,cluster7
27,10.41,9.912,1,cluster7
28,10.172,10.598,1,cluster7
29,10.286,9.712,1,cluster1
30,9.932,10.234,1,cluster1
31,10.298,9.948,1,cluster1
32,10.352,9.932,1,cluster1
33,9.848,10.328,1,cluster1
34,10.514,10.498,1,cluster7
35,9.944,9.934,1,cluster1
36,9.92,10.022,1,cluster1
37,9.908,10.606,1,cluster7
38,10.182,9.99,1,cluster1
39,10.256,9.25,1,cluster1
40,12.04,10.028,2,cluster7
41,12.082,10.044,2,cluster7
42,12.4,10.156,2,cluster7
43,11.988,9.926,2,cluster7
44,12.34,9.918,2,cluster7
45,12.228,9.978,2,cluster7
46,12.348,10.488,2,cluster7
47,12.044,9.358,2,cluster7
48,11.736,10.122,2,cluster7
49,12.35,9.798,2,cluster7
50,11.246,10.122,2,cluster7
51,12.276,10.99,2,cluster7
52,12.374,10.018,2,cluster7
53,12.53,10,2,cluster7
54,12.27,9.792,2,cluster7
55,12.364,10.176,2,cluster7
56,12.458,10.18,2,cluster7
57,11.952,9.682,2,cluster7
58,11.772,9.924,2,cluster7
59,11.502,10.008,2,cluster7
60,12.134,9.482,2,cluster7
61,11.628,10.286,2,cluster7
62,12.064,9.616,2,cluster7
63,11.906,9.82,2,cluster7
64,11.736,10.29,2,cluster7
65,12.114,10.904,2,cluster7
66,11.59,9.712,2,cluster7
67,12.648,9.814,2,cluster7
68,12.164,11.018,2,cluster7
69,12.22,9.796,2,cluster7
70,11.846,9.634,2,cluster7
71,11.808,10.058,2,cluster7
72,12.096,9.846,2,cluster7
73,11.594,10.078,2,cluster7
74,12.252,9.938,2,cluster7
75,11.998,9.676,2,cluster7
76,11.894,10.012,2,cluster7
77,12.274,9.936,2,cluster7
78,12.176,10.364,2,cluster7
79,12.104,10.388,2,cluster7
80,11.372,11.466,3,cluster7
81,10.94,11.482,3,cluster7
82,11.084,11.554,3,cluster7
83,11.232,11.374,3,cluster7
84,11.22,11.64,3,cluster7
85,10.962,11.75,3,cluster7
86,11.014,11.746,3,cluster7
87,11.524,10.982,3,cluster7
88,11.012,11.364,3,cluster7
89,11.2,11.062,3,cluster7
90,11.626,11.894,3,cluster7
91,11.23,11.728,3,cluster7
92,11.144,11.91,3,cluster7
93,11.106,11.868,3,cluster7
94,11.53,11.918,3,cluster7
95,11.21,11.114,3,cluster7
96,10.746,11.702,3,cluster7
97,11.154,11.692,3,cluster7
98,11.412,11.924,3,cluster7
99,10.948,11.532,3,cluster7
100,10.988,12.298,3,cluster7
101,10.96,11.392,3,cluster7
102,11.656,11.346,3,cluster7
103,11.178,12.062,3,cluster7
104,11.368,11.56,3,cluster7
105,11.264,11.724,3,cluster7
106,11.554,11.576,3,cluster7
107,10.974,11.114,3,cluster7
108,11.12,11.634,3,cluster7
109,11.51,12.052,3,cluster7
110,10.95,11.402,3,cluster7
111,11.864,12.406,3,cluster7
112,11.198,10.854,3,cluster7
113,11.65,11.496,3,cluster7
114,11.248,11.722,3,cluster7
115,11.602,11.888,3,cluster7
116,11.424,11.454,3,cluster7
117,11.312,11.718,3,cluster7
118,10.736,11.68,3,cluster7
119,11.56,11.798,3,cluster7
120,10.028,12.268,4,cluster7
121,9.282,11.976,4,cluster7
122,9.178,11.53,4,cluster7
123,9.954,12.398,4,cluster7
124,9.622,11.558,4,cluster7
125,9.914,11.844,4,cluster7
126,9.07,11.092,4,cluster7
127,10.578,11.354,4,cluster7
128,9.582,12.14,4,cluster7
129,9.622,11.528,4,cluster7
130,9.35,11.71,4,cluster7
131,10.234,11.974,4,cluster7
132,8.986,12.31,4,cluster7
133,9.438,12.11,4,cluster7
134,9.592,12.012,4,cluster7
135,9.666,11.88,4,cluster7
136,9.364,12.012,4,cluster7
137,9.71,11.772,4,cluster7
138,9.992,11.836,4,cluster7
139,9.916,12.028,4,cluster7
140,9.382,12.226,4,cluster7
141,9.808,12.23,4,cluster7
142,9.272,12.152,4,cluster7
143,9.392,11.18,4,cluster7
144,9.28,11.976,4,cluster7
145,9.848,11.632,4,cluster7
146,9.322,11.514,4,cluster7
147,9.718,11.95,4,cluster7
148,9.12,11.76,4,cluster7
149,8.978,12.37,4,cluster7
150,10.072,12.202,4,cluster7
151,9.966,11.822,4,cluster7
152,9.506,11.648,4,cluster7
153,9.702,11.536,4,cluster7
154,9.45,11.96,4,cluster7
155,9.916,11.962,4,cluster7
156,9.96,11.538,4,cluster7
157,9.014,11.744,4,cluster7
158,9.024,11.846,4,cluster7
159,10.296,11.61,4,cluster7
160,7.87,10.838,5,cluster1
161,8.164,10.534,5,cluster1
162,8.214,10.62,5,cluster1
163,8.166,10.698,5,cluster1
164,8.05,10.746,5,cluster1
165,7.978,11.13,5,cluster1
166,8.08,10.992,5,cluster1
167,8.472,11.082,5,cluster1
168,8.494,10.584,5,cluster1
169,8.354,10.38,5,cluster1
170,8.096,10.714,5,cluster1
171,7.882,10.832,5,cluster1
172,7.908,11.346,5,cluster1
173,7.814,10.872,5,cluster1
174,8.28,10.104,5,cluster1
175,8.082,10.676,5,cluster1
176,8.068,10.118,5,cluster1
177,8.116,10.698,5,cluster1
178,8.042,10.79,5,cluster1
179,8.096,10.878,5,cluster1
180,8.124,10.932,5,cluster1
181,8.632,11.124,5,cluster1
182,8.27,10.716,5,cluster1
183,7.622,10.148,5,cluster1
184,8.198,11.398,5,cluster1
185,8.582,11.064,5,cluster1
186,7.942,11.076,5,cluster1
187,8.004,10.574,5,cluster1
188,8.504,11.378,5,cluster1
189,8.118,11.012,5,cluster1
190,7.874,11.296,5,cluster1
191,7.668,10.924,5,cluster1
192,7.966,10.72,5,cluster1
193,7.94,10.996,5,cluster1
194,7.988,11.228,5,cluster1
195,8.164,11.112,5,cluster1
196,8.386,10.772,5,cluster1
197,8.248,10.994,5,cluster1
198,8.286,10.734,5,cluster1
199,8.224,10.316,5,cluster1
200,7.976,9.578,6,cluster1
201,7.876,8.796,6,cluster1
202,8.172,9.01,6,cluster1
